19485
-------- Apriori --------
task learning --> (u'multi task learning', u'multi task', u'data set') 0.00160470714095 1.0
task learning --> (u'multi task learning', u'training data') 0.00133725595079 1.0
task learning --> (u'multi task learning', u'data sets') 0.00133725595079 1.0
task learning --> (u'multi task learning', u'data set') 0.00160470714095 1.0
time series data --> (u'series data', u'data mining') 0.00320941428189 1.0
training data --> (u'training data set', u'data sets', u'data set', u'data mining') 0.00133725595079 1.0
training data --> (u'training data set', u'data sets', u'data mining') 0.00133725595079 1.0
training data --> (u'training data set', u'data set', u'data mining') 0.00160470714095 1.0
training data --> (u'training data set', u'data mining') 0.00160470714095 1.0
unlabeled data --> (u'learning framework', u'labeled data') 0.00133725595079 1.0
Number of rules: 494
